ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,School Administrator,Administrative Assistant,Technical Acid Construction,"Quesnel, BC",Just posted,$25.00–$27.50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D2W-OSbfblaIYYLj8K73YGOFB82x5T1oGMB86rjxdpXMRG6ehVw1-PZ5ILzuF4k0YMVd8kNolOOoeGHMmDw56a9W9kwuYjTXM2zkipHAMUpBDnWJJ3MSus1Urlx_AEnslvWNHI-mgs7t8v6CC3NBdvat7vzZ7wsWf1ZMW-G4hudFJQhJtYsqgfHudwdjiCPf5gEEJzPJZTwiR5RXiR7nrVHLwnqgy5OEv1XHLprNAWqbuDF67oMDxhW1VF1ykKDHfq4P_zGrWLwbVep3Tk5c5JGhbfNVL32E1ytm4aOZCvu7cf4kwXeWD5KyPQ94_a_zTcc2YBnLarYcZ6XXX9Blyh-zg6g7jNLHqqV1Nt-l4Vt-4i-PT2q0dFAt-OC1gw75JlzN_poFygLoSiP8VW-wJN-U3oiI8HlnJSGormUIXT0BxYWat4QG2c7GN-9gFz-owsl7t9vFfa4IPcROPRB8G3sHkgLKzBmTHM_9K8pql9nHWTTNSxKIUTV7DYiSe4LhER5hLD66dxWs7JW1IEzyslj7UiOPa1aZwBu_HtHsLpbO0zde8Z1exVM2FeyPxpa45tcePwAKcirNUyaglbO2C3oOCH2wY3KF8m_4wLNOOc6Sl8USkExLfaUj4OZqRavmEHV1w4-cR-CTy8V2j-2X1t&xkcb=SoBd6_M3-yKS_nSiqx0LbzkdCdPP&camk=nUmJqO2E8rhQIxTFYBhISw==&p=0&fvj=1&vjs=3
24/07/2024,School Administrator,Office Administrator,JTS,,Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=317ae135c5fd1362&bb=OefuBD9Ed0RDgZHyjDPmxR3dJdXLdA78MDjq2bzl7pXs312KQ644jeLEJyBbzuZ38_sEiFj2qh-gAGk6bfjSVVvPlLRxPaiaKc9VgT7bKdgy99IQG9X79pvDZfy8NNM3&xkcb=SoAd67M3-yKS_nSiqx0KbzkdCdPP&fccid=6f0337b4ccdd8ab0&cmp=Journey-Tax-Solutions-Inc.&ti=Office+Administrator&vjs=3
24/07/2024,School Administrator,Human Resources Administrator,Canadian Armed Forces,Northwest Territories,Hiring ongoing,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AEijAmCurMlSbSrBcY9H30C0iyz3gfTTVX04Dc3K_3XSPt1kBNZjXIq7drjyUdO9Sj3eYUCdpIbauVrBvUN2qTJe-u5YbZROCsbp_lVlWbBC-ZLK7J_ueCKy-ccKMB8M3oAw14zcoV_vg2DjxYu4tQDecvVaHcv2IjAHblT3-h0VVNCp9LFrQwBm0M9OvaLTeK5pN20ga5Ht5psWVLCvwsSHKy07As-mpDxAkK16DWnEkeZnv235hpBNBrck2ay6UwQ-F7We4a88O3MWIqHLPsfDr4etoanuN9wxjlty0xZDptVdolclyKOI79QM-HC8m0OoDoYLCA3boMFdRZvq5tMb3HbZoMjFV93bHzp5_ZT2vqFUWxtRQMKkdBQfZlUEOk4D6oq6seYqyyt1ixG5y3vMEdD1qPR8YwiPjNbHS3q4rXBBz2Bu64z3eSsKTEZUoc1RpZ9bgWSRZX4tPe_CDppDi6BT7rOQkASre7Co8uZKQxGsbNu6lhzRAiqngvXwiphlqb0Tk6zKsNp3cuZmIBtfXHs4ob9MOA6liRDCSMX5XXVBSiEvt4EBX0Op_ZO3UpWqEkaN80kaExrXMqnAmlycdY0FTcHt9UmX5zQFUd7NkDqLKBPARh_Flvit2TgjpF8AYsABJrvgHyGtq2EoA5buD6Y4muKdxH-3sOVX5xgIujRkEdV1FIGhKyBW87-Z04z8JIqjCmKk1f24QWyuUFdzNT4AkVNE-RPvneMDpTdvOlFYXwFIdUEbK2xikxP2W-C_XPl-SGjkvtT216Lb2WAJGjF2K2IxPhgDqV3WjjB6rM1sPl_VpDr9Kr2QLZlYI-jWRQu1bGlzpd409N-vxtYWl025aH_pX8SKusI_8KZDS9rp8QCQdeo8er_W69q0I=&xkcb=SoB06_M3-yKS_nSiqx0JbzkdCdPP&camk=nUmJqO2E8rgTJOHaky2thQ==&p=2&fvj=1&vjs=3
24/07/2024,School Administrator,"Lead, Integrated Child & Youth Program, Masters Degree - Mission BC, MHSU",Fraser Health,"Mission, BC",Posted 22 days ago,$45.46–$65.35 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUcvEkJretScWwQmphY5MRBvEQBp54sQ_9NoMPnGKLLXtKX5tNhbHgLshG0K-2fjQK_sPizenbwbW6SqWFn00NH7NeMJJ5UKcb1SCQjkaa6cKtYoMNCAZMjd48A1jEOy4e6EBzk7nG4TSj4GseqqYxK-xsCPk4bqW9HqF084NOC8gR77jvDOF1xCR1Vi2W0UnEW81XOss7jpFtxrnsW1TgiNjqheCRxixBQ6M5fDDDnHVVmgfE_pTc4M3I3IFGd2jgCX-ce93rw09M9vDZhWmuH992XEY5zl6xpmRqMxqcbhIxTjYZl_9SPdASaQoif74oeKR4Azos1jSavF5Glml4lufEcV3HK5T4FLvCJJx_3zYkROR39TWfsFQW4OFWNnDC-XFhQF9uBMRiUVegNOK07d1yagNXHR6H87f75fmi6UWy8MTbchsLDsQk4SQPWjGhfFdn1A9VO3ofyDpDJP158lhDum_6h9Cym1Pd9oPlTJCBra3sO6NNe4EUYw99gkICQQruRKdlQtZWNFJ0wpbdTKP3bUXfpumW3Sr_LRLXFElTfalijEr0EegBVf4WCU50YLVbHeS--kMWw1zN0c6wxQlK1_Wc9orDwXzbA3zPU3E69AH67w48&xkcb=SoDA6_M3-yKS_nSiqx0IbzkdCdPP&camk=nUmJqO2E8rgp_xUxvJHUqA==&p=3&fvj=0&vjs=3
24/07/2024,School Administrator,Maintenance Administrator,Nuna Logistics,"Edmonton, AB",Posted 23 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcWTLc2p1kXZpTp1f-Bcosq65L9juuYXy8vI98HC5qNUl1gjJOzuwuEibFEyyUMLuSrNJcJOGjOytiZJYzqEoj0KRDAGeCw_P5LYt2OwuriTDOToZcqL4c8Oa8PbnN4Aksj_utbce1YQre3DSrL_DOb61WDGqXN79z8hq7OUPhYfnVsg0Tc3mmbDZWG3weTugWLpQrfTEOeIFs4V-yaREbNus6Gt1qR3cIH8cOc9jT8lzPf9yG5yJVanZeAzM7xsqLnC1ImE9JG8USiLrZExmIrotuQrCoXBsus5mQHcOi_DqUSxRwGXnc-tPw2CChxvt37fh18L_MBbzrD-P5PlhVKMJc-jjmAgJwmEZHhMuhlB7KaciPGRXPz-bWGTbrGc27CMr8fVyCd2VtIni-zk_cF7bYYG4ozcEVZAjrNFhkiWTEqhN-lbD6MUJralWYIJlbuhXPgVSjhJ7THewuNqCexdw6CJ_YkK4Cl5TIfP8tTVzky5JfXffLDvkGW7-OoRp6Y3xXDAUR0H4WqlOVmySUDSlbu5muTSNXnp9PxTSYAOM2OkncrKpYucyhDAuiOosFFRobAgFFrmgxUDhaAKPrExPsRgYzg8wPZ5cE7OD-Xv1E0N8LTdmrBljDY7Xo6n4IIIUPQ3O50Q==&xkcb=SoBO6_M3-yKS_nSiqx0PbzkdCdPP&camk=nUmJqO2E8rhVlFdo9h4n5A==&p=4&fvj=0&vjs=3
24/07/2024,School Administrator,Office Administrator/Advisor Assistant,Ryco Financial,"St. John's, NL",Active 3 days ago,$18.00–$26.39 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DmjBWiVncN-hTRnTfPYQFBXrnXqR8gy0VgLLJR0M-BZFP4iCKEic4G-w6KwYYLMoWxeSDa-h81w0ycKM-irtmNCDimSE3ZJGh6GkJKixMustzbWfepmQsZIM0rRDJrvPsC6J3wB7uqsQxBThy-SXdBWRqhDkIa5m3RX6PDTy55ajisdJxBXKMuUWAzcSa0lNOiTifDPd1CnTMjsCGaHsG-r5zkFM9JpLiMcAg4sEObiLiWBxsve2sJlslqbjQX9qb5yAUguSmpRI_EEfRDe6hse5UZ4wlOWXh7GfMg5980l_XvUrv0Ij_x2uw0CUX2VC5yBbo6z7yEX7D9WrZLXswbgMYjag1SIYkwfWTz-T7IMn1fqtfqgAqbNX741RdBlxO40fJ4P8Kvz5yP9u3csv1td62lf-hM0jN6xb78UCT8jvtSvzfUEmKr0X466JDyvv1oA-SwlEBUTNPI2FiWg4voVq075851FFrazo41M4vjPqCFDRaCLUewS0POo4E3ajUI5j4AGk9YM5hhyYpmSIV0cmnEEemyJ3eci6w-CkTtpyDNfIIswG28VMHa9Uk6icCP9p8qMjDOAM0aQkNHZ2UQm113wWTAV5FPa9eGfGgLRMA47-Nbkf0bTwlflIb0IKIbhuA5WMwCAJe6I1VWZ2mC-lzuPM1gh3A=&xkcb=SoD66_M3-yKS_nSiqx0ObzkdCdPP&camk=nUmJqO2E8rh8c9Zl7t8APA==&p=5&fvj=1&vjs=3
24/07/2024,School Administrator,Receptionist/Listings Administrator,Confidential,"Salmon Arm, BC",Active 2 days ago,From $20 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Duv9xepSPeoLyazPW3CSiAuTDy7ayToj6wIMAXt6TUEQUKKMnoy3PKKnivbnL53YIZniTGzx1jY0KzOVZkQpbKTklQ0i3kXO6v_wE3W77KTTLfkCSG8sTQhnGmrY4tJw3p76THdPtk8hAzpVHqsTVZLSUVgWT3vCVMYY4fJnmSfcd_wRBjW14LdPslUd3JVnX2o8NTEIrdFij6-RT2rJumgfEXO58zuP2x7t2LfVfNcYQ5jAwATotPiHxW0OOT6Sgi_UkcmZTUvns1d3G-3JlXTZ439TpbsfzQ9K9UBCHvtyCHWYeNgxgi4fanL57MKAIm696Diwnri9NJhB8f6jxQmVtnHM4F8WEl7YUGratWsHwqjsW6n9TH2h4wJqobu7mkGDRoIvEVB8uxEFIQsLUlkDPb-07wc8isnk4lUaTWZ9RQUsdu2yFVD486UphcvlPrcanzfRUDU6NR_gCCfiM_6xvZi9mh1WbB5yBgWVhwg_zI9hDSOaj4VCOzQBBCPMdMn4ka_Qrd_hQDNbIVw-Svq9GUqSc0x3NqUqogr3PWLn4Gkt6H6IPFtjJGscjvc-8vqJeOCtOnxBMcBQwylvbHu_5hbk6c5xUBSN3lWXlD3Frlp6ieFoNiIp9d9NswabUPZ805R6_dJ4F2uadGhirDkmKwsFJAmpA=&xkcb=SoBn6_M3-yKS_nSiqx0NbzkdCdPP&camk=nUmJqO2E8rheSsAFgUjsLw==&p=6&fvj=1&vjs=3
24/07/2024,School Administrator,Dental Office Administrator,Family Dental Office - Scarborough,"Scarborough, ON",Active 27 days ago,$25–$35 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_cdfBfQPBd2_LtEPZjbTi1PtFp6_R0Xr-w8OGIt7X8iZcPwkNU5U746-ijEz6QfKJJDALB3PHsJR7fwJLxwYv265fZhaRc8XrXFNS8d5hMk_t3b5zzKCr9v6cBH4sjSkiJrzOwEcHYl_CA4za-_1Zuj9XhN8ozH0OLHOczguplvIlWcxXh8tux8_v-gjAPnzkxKt7q-bGcZxZnIJ4AlXfcI3pOAaHs5NIV_rVw0vz-c-futRuD1Jy5HIB232kfLjyZj_pgEGZlZiQXxbxCG0AkVdsCuULkhWrhxwpEzqLsdXdkn-pHswLoW6qiGs0_4XuAAtey3r83ir3lVTOGjevuv-TFdKrOp7bKYuUK8z-EbMwKjP3gC4tbQo5uKKvo6SHTGevhaxJboZauuRP2U9k8JeLGT4kUxE3kKNnCzpGZmDpL5FGJRkIKW-rUw14RCzNPM1_sIa__oDMQ9LZR5tFcxgrXu3Qh9tNDhaBj0CtfAZX_4RpWNas5y4_2ZmGm-JWZS2SlyZ-_E2t0oKeAtVKdx-6hxeW6QlRjUefAAgtYun6SmKtb_qBOFb3lnn82Fp2tsR5CBH2inR7zqjLxSLRd3LKJCELIyATMOwCzeYzVEvIlePHAq7bztnk2xdGkevLKI7i1C3Sa5zMmU5EZ0N6bf1G_mC7YFRr5Dn_0tuyVzv_4LwXuFsr&xkcb=SoDT6_M3-yKS_nSiqx0MbzkdCdPP&camk=f416UQcMBpDv9e8OYU8tOg==&p=7&fvj=1&vjs=3
24/07/2024,School Administrator,Front Desk Administrator,Accel Physical Therapy Ltd.,"Fort McMurray, AB",Active 2 days ago,From $18 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DVfOrnyQgUnnkkdOuJlxBgew9e5TChuglLBPYXddYzS21u0LVNLlIGkTnW0HNCnHNKjVVPSy5k6LVh_t86OcBUO3hu1ImGsm0H5McvkxN7OpvxqiO4_jtfXIMeYImdR1-Gu7h3P6aUuD7yb82tDESr8jWvxE9ndj9t1PxAP6Ltr7XqawCUnqRApE2mSBjXY4XJiOVGpQjPxKxyumpZC_cQG8_l1XrC9x-nGil96PqnHjh1pcqOxG-Glf7pjUsN9bkTbWrqS0A6dQ7UJ8uDoPtB7S5vi8b2P9ugyAcWEBGGgSuDaMJLH6p5E5XhAGa4ws6Nc_eLeXtTNIdFK8bjbyDrzpMegBQeogEVe95sM2qhD6i3A5CIY4hOZ2i_R0rAT2N1p4HBX67_99oWVqkdoaBhNS7X76fLLMmcNjLAmuxcXxXCiBpPmBO90cBCqam3xj-VSLNaydZMtbzY-0IiabO_0zAZU9ccQ4Ls6er6sFrwnn2vNa1IjajdWOy-yClAnJMeJBzn6y4Do3IZ-7bwhogh7SYcZIP-Z6ajkVwzeZc1gxz0b6RN1OaFTw3CIbozTLI1QLynFkKSpMxBtrnMc-WQTLwTvDNeonEquenW0ghqaqvBzgWMbLAlTPQQXWYV8gmDScTwFdVWQw==&xkcb=SoA66_M3-yKS_nSiqx0DbzkdCdPP&camk=nUmJqO2E8rjDel6GYxPLew==&p=8&fvj=1&vjs=3
24/07/2024,School Administrator,Administrator,Endeavor Administration Inc.,,Active 7 days ago,,https://ca.indeed.com/rc/clk?jk=acead4bf2c06ff61&bb=OefuBD9Ed0RDgZHyjDPmxbvU78k4EPgp23ora9CK796zclbD3yhPIY2npNEOoIYZnhbpzkhbD6MRf_N7Xdjgr40DYLOqlVsKY0x14aDrNJqytNZfKlEI2OMMo5wTkIL6&xkcb=SoB667M3-yKS_nSiqx0CbzkdCdPP&fccid=26d75ce56e12d50d&cmp=Endeavor-Administration-Inc.&ti=Administrator&vjs=3
24/07/2024,School Administrator,Office Administrator - Sales,Durabuilt Windows and Doors,"Edmonton, AB",Active 2 days ago,"$45,000–$51,334 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6qaJ_ru2zl0SypXVw34pd6uV-c_uMc7UJGK_WtAnex6ND5Pah3p-l0X9tij1tinriXLdQAwZKoTc2ve70BD2D75TwUyCZ0HanMKQX_PwGNT4ul2dJ8jMlhy5Lyoti9EzCU9pWfEwc5YliLcgA_6V2niipxM4SQrMTJytVruz6evI1H0Jfl4RDMYucOWUnDpgNjzwSm9p4jTFza4C075MdYBZHqm-FE4ZmG1UY58gRgUSUlHX5jha2KHwf-2O9yB8PlWWbKxQmUk017YDGCHJ4yAz1TzziWvJIBrqUF2G4rBP2n184GYpqbt5-3-Zi7NTtedFR1ZyEIG3N0p8PE3bHWWN8pgwlsPniSpBOKrXS30AfdCWo6kSTbaMxIEe7AIxlvXrH4X2TMZcQpv0ipWEDwUY9bGceN-TNsbC16iVW6_hCjqmPRBnyVH6FEJNiynbcaH_Ni8kBfdHYC1soLTvMFLpC29EuIZ7Kku8ECfvQmUrSBG4fZ9_3ivExb5XzhXR-UeWH3e3Cdl4pG6Or1KvPTDjdDblDkC2PEw8g2oDrlv8rEUEOV_1JjYjAhFgdkHb0SIXQ9Fi8-ICmG74iby1dmKlGNd3LqAwcz0EDKKgarLGMgWZMVFYtsgpcvndKFUjmjOD_-_LERVjZGQsO7ZrnujsYlu_v6dVh-i7zTitWJg==&xkcb=SoAT6_M3-yKS_nSiqx0BbzkdCdPP&camk=f416UQcMBpAeoi5xizwYNQ==&p=10&fvj=1&vjs=3
24/07/2024,School Administrator,Office Administrator,MaxSys Staffing & Consulting,"Moncton, NB",Active 2 days ago,"$38,000–$40,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AzFeUvqTlpWNxPyD69ddPXNZOz_u8quKopTPKHpsIAPAA50SE103V5P0rRlXSQ8pR7l74671o4NfCAZSvXKlj1nMEvuIW6mtb3iP5ZCvEKNkv3NkyLc7VfUpBJ_rhGyEETxBaQT1iOTHMcWOr-RUmVtAAhAzB4NvyuxoVSmIVWXulVeQStWXgMzn7Wks60iXRzx_r1S1AIjO3ZVNE3EBPr8YG2ilnOTvoRHBSx16AGGZICQBiLhve0Q9KMxjaVKIDBXLEJHGfTsD4AXvmW7fkBaHDFLxo_ho09VpDeyPeU5pu7uQU6APSwd7gQrXZzI2-qSpmmRmbEc0iOUqNdvRq8lSX-QI8WgSdfXuRwEDnN8AmQXseFJbXWbddCczVGNtwCpUTO3xtxj5F28VuWhT2l0ADZJbqjBJ48Gpk3T-dYSKlkOh2KI1YhAW3tYxAhd3Mp67mY5ktyFQwxtC4hzPBt00013YdAVq-7ozRVcGlEV4TTwRqApHWi5w5MvdrWY5KZuYbsTJIARWlM-dtTp50rFlS5rMaPJc61q_VxxXLGoD3oCK_rfiYXTrP6MVRwhFxqY7UE2hh8kkLbNrn4XLAooa3TEwSGgWsyW9K-lwtcSKvW40vXBE2VqAsXLNCjIBAn_Mztx69BCRtyazwtkXP5ROiQwwcZEDmY76Up1l8l8w==&xkcb=SoCn6_M3-yKS_nSiqx0AbzkdCdPP&camk=H-lBaXMUocIHxgCuD2aU3A==&p=11&fvj=1&vjs=3
24/07/2024,School Administrator,French as Second Language Teacher for Adults,True Training,,Active 6 days ago,$24.85–$31.45 an hour,https://ca.indeed.com/rc/clk?jk=e6b9cbc2b60ee9c3&bb=OefuBD9Ed0RDgZHyjDPmxQSAKcbV3ppjO6r0OOZJkTKx1U3VLAfh-yLVXY4abyvKRFtM1Gx_K5isPzTybSHv5lX5eZHzMkYiZVafDbrvxok935PNqpBTkHG5YhN8kaJr&xkcb=SoDd67M3-yKS_nSiqx0HbzkdCdPP&fccid=e7d214b64fcc821b&cmp=True-Training&ti=French+Teacher&vjs=3
24/07/2024,School Administrator,Accounting and Administrative Assistant,The Roman Catholic Diocese of Nelson,"Kelowna, BC",Active 2 days ago,$24–$28 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DvOhrk63-qL8ZeE0n14hUat0Ln1qZB8qwSAqM5qMmPP5lVREl9_S69O1834IXpXr3r-lD_hvlwwyDZK-9xB9jDD-I6RJ5JDmlW5huMltzrk-aLiBA-StSFwGnAwQIHzzTDIPg-b_5LgM1DigdKsAtLUUY02XzdSIWq9Pqi2Glx8f9svdViBlz_ORY7BLGv__vGZyImy6GPkAE0N0bgP9dTQtM4P0TKj6L8X603pRTQIfIc33ci36mJn3RhPRzYR0zMxvio_E-RkQLjnFNDV_qFr94358uY3ebnZR83WSX_H7pGLZQTKZ_w9WJq7QhReGV1EEUETve49nfBc65U3g3QMX83eBNWvuNaA5BGQ83VNIHg6xAjOxMXwo588IMl9Eu-gnCvGcrhQL5Nh2ojTNrxk3Qq826c0YuQ_NiLYbyS9kROeNey5ed99K1478NcEfUwLhmJDnS5YLjySz_pzEn_BpeBnyAHaVdtUQ3phbS-BLQBk1cNw4eF5kt-JqDJ3AyjuzAEX51YjGfNPzYOCA378ivBZV9Z9r2160X-Tyn18wOk9i-pqxPH_OQ7J_WfD7sFbWGdj-DbG8HpdY4eGo8398reFfGcQD9PLD6WUEOQBEj7fdExf7qTV3wWxfl-ilKAu3Z_YxdUL1vn9SGujmebB3JvvAJQf1c=&xkcb=SoCd6_M3-yKS_nSiqx0GbzkdCdPP&camk=nUmJqO2E8riw2kEUY47jSQ==&p=13&fvj=1&vjs=3
24/07/2024,School Administrator,Office Administrator,Speedy Glass Owen Sound,"Owen Sound, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DYNuz4oW--TNWLANGTZRJKs59XsoWpB9SEDnebfq70IIUKRezFmadybXds24uCfqSlXd1BXj2C_ezGvs9hPkTDwGoK3kIHSXq9NX20tR6EC5FjFuKIrb4KZCwPG_m6P70FlPshp-oDfjqqo44xhW0y_4v0-KFr5EvpK4WzNQbh5upxmJNetF98A0NV2eZMOVy2sKt5BTKjkGeNaL-rH97VCmyiblQkOfyzqwpKOi7E55cyPCOcRvbigopp-Wos0N39HdvJYsH7lz9digyCufy0--rnk0exog0crxK81fM3b2wCKQ3sAzjrFHP0ftaDicxGpW9cppsNn0umk1w2mhtycE_S8V7yw4qEcW2KnvKwYEtHzFtlCxGSQIMY8FExSBGjF3vVhLCziWAxlHL8H19h-3tLTI2DCHgknjUDYFIsk9QvxyTE6HpX54jYWBPuXz48BWp6Id0Uyv0AYoYl8ng4jsPDhEeyhKMfgoJFEWUVcyTLeF6a3YdXo13lfjKuyW1wQntanYtQv2mK30U1-AJNGNW7Bhgl2l7wuupZWKYIx3e7MMUi9E_3zCsAqKOqwdyGmEbtj38JdB0bkyRWyumdqILPetSx_AV4hrBu-eHydSwWWWXLQ4iHSfciCCrIduQgF20k0ij4EcP1zbECEQqntWqAaf4knbE=&xkcb=SoAA6_M3-yKS_nSiqx0FbzkdCdPP&camk=nUmJqO2E8rjwBg0pOuy3ZA==&p=14&fvj=1&vjs=3
24/07/2024,School Administrator,Dental Administrator,Athena Dent,"Didsbury, AB",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AEaSAsFrFIP8cM16LbDI6GziSXkbkqU2mdEARTGv6pQqrD_tgkXapStyuM48XxYf_ikiEcAqKj213QNVHMskgfjlc7tPmRunW3WkZJWx_hpzvmJGCwDhhI-nJV_G4q7r1TZkEgSzHmLy55821RuXG3xl3dYNefQr2eillubEUuowXiQtiId9NIJ7mplur8a1TjhUHpsx1XOAytwxizgHFo8-wZopjCP2JYBoh45LYX1CgyqL_R_mkQk7ygSnq68YrZUiiwUjoFjDWiQxRJXoViwmLHQ80bX42rPd5lcsUsclhAYgLq_JC1uZVVLVBvbRGyo7LfxPFrBEOtGxcGFHZ2D2gjgpGPPj_LXHja8HkpvzwelErY-QKr7IZ5aaNZHtCHOpMSl9ii7ZERpwzxkgfM2psZj8WrIJQS68gjclIIO7OtYVGzK0pRpJgohdKuHcnpKy_jHviBn2ktC541oMpNH-uB5QKkX2DVawmKW5SAjE-u9orF86vy8DhZ3oj9qh6Q7ykYThSuFo9Q9g7qrKuQp7EmsJiyJ-aN2zt6cfBevoRAaXcvPP9GsZxr7parLKuzjqUxjMu7KPTlnNdERT3_dlXvnRt-4ogULYPSjdK67N_cJF_xd6nA9i815e4R4-UR-af5k_QUOB5EPVA6Q-JvAT3ogQFElVo=&xkcb=SoC16_M3-yKrBzyiqx0LbzkdCdPP&camk=nUmJqO2E8ri0nstCGWYOOA==&p=0&fvj=1&vjs=3
24/07/2024,School Administrator,Pre-School Supervisor,ViNCi School Ottawa,"Ottawa, ON",Active 2 days ago,From $24 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CmfQ5EVvJZZJxiXltgYUOFPNA1xU9V2gyMtGTnCWs59Wr6d_QupAMgDCTj-W2ZTc29Z-lEXg9Z4GX7OGZIZibJKlB85ztL3gbJhh2iBkDg6abJx-FmbZsKtopgm5z3B2-fi8bMBd8pGpiMoHbBy8vcZicB_YvUE2IB6o8xCVsoMHcta_RNGUt5mecMxbwOVbs4OH7Dxy_OuB2dkzz4B-6Afg-o6OWSgfRzfHGHg4xDGaW6BrNEocYFOFIgNOdbCJ8500hRkn9cCjHZEFtaN_sC8U9SHqU_g_k6lEUBg1lqF9SyPrFqY8FvH62ew41cbn06reQCo_RXtZpoY0t8LdAZq1ObSSGQJRvL8nL7YTxfvYHYoS675U6ESc2_dr1RjXk8tVz4_Aivl8QIh9BmjqS5o0lGeH0KyzGtuRRji6zU9oXoXuUT_o9ngvkeol-i2htAPdonJW-L7xaMxAWDYGH4I0w693NvTo4g5JyDsCgk8upDttm47Pf6fqOKOkMnncnbaarw4HJznUvJ5G-pXGDfxgTuSb6ttZnaxd7D8O-eja6AGaDbiQlwyTjI9-G655TMFyNzKfDqLKxSFwTlYnDXWvDrzXdooQJUzR9_l813zK8C6ZPJjGMNUrQtpFt18NTC24c_2I1-mQ==&xkcb=SoAB6_M3-yKrBzyiqx0KbzkdCdPP&camk=nUmJqO2E8riEUQiSosnbUg==&p=1&fvj=1&vjs=3
24/07/2024,School Administrator,School Portrait Photographer,Mountain West Studios,"Burnaby, BC",Active 1 day ago,,https://ca.indeed.com/rc/clk?jk=439cb382e1f58ae2&bb=qubykL7XA3ke-HGctjm_lzMPHKN6dRFzP4ezbKQ0YTjIO7GY2mqzmEJpDhHWL41uiIKZ7mwD2JOkGyTqCrmZSUy1QqdAkdzXykZJtWcZhYLLaXNBUM0nNLip_flE1KhK&xkcb=SoBo67M3-yKrBzyiqx0JbzkdCdPP&fccid=dcb8d47bcd08ae72&vjs=3
24/07/2024,School Administrator,system administrator,ED Tech Solutions Inc. Alberta,"Calgary, AB",Posted 7 days ago,,https://ca.indeed.com/rc/clk?jk=6c6e8de1950f7bd5&bb=qubykL7XA3ke-HGctjm_lzMPHKN6dRFzfZwsi_Y_alYgezqZ1dFXS6wG1u3zt3YCJRcotKlMUGmsVoqUpIi0dgYKsfqVkz_gAaJLW9zQpqQDdttJhvJ8FA%3D%3D&xkcb=SoDc67M3-yKrBzyiqx0IbzkdCdPP&fccid=e280b8b5023d8075&vjs=3
24/07/2024,School Administrator,High School Teacher,Secpwepemc/St’atl’imc/Nlaka’pamux,"Skookumchuck, BC",Posted 30+ days ago,"$65,000–$80,000 a year",https://ca.indeed.com/rc/clk?jk=f43c5ba09916a082&bb=qubykL7XA3ke-HGctjm_l0ue5NsJcezfvy3_3ZAbgSiJGbOrVixdbUPTTiyNhS5J3x11Ybk4dVMjGMy6Ta57do5BUJi3p4kCQUB2S4lB5rWIWWurDKoSt7tn2JGva-xb&xkcb=SoBS67M3-yKrBzyiqx0PbzkdCdPP&fccid=e4541cbd26edb48d&vjs=3
24/07/2024,School Administrator,Driving School Administrator,Master Driver School,"Antigonish, NS",Active 6 days ago,$20–$25 an hour,https://ca.indeed.com/rc/clk?jk=f2dbe2d30f1b5e7a&bb=qubykL7XA3ke-HGctjm_l3St5_HPw-N_ss-Ef0nqqZH0PE2mRPuN5VcY3ihWXfWXvhDjvrbpS7UfJZWKuj-DzlMeQ7XuAjYg7ua8QMzXLhTEVWAXhUWHeqXklV2qgqla&xkcb=SoDm67M3-yKrBzyiqx0ObzkdCdPP&fccid=8b2935a982af7f01&cmp=Student-Taxi&ti=School+Principal&vjs=3
24/07/2024,School Administrator,Course Developer,Viewide Education Inc.,,Active 7 days ago,,https://ca.indeed.com/rc/clk?jk=8c774b05981bed2e&bb=qubykL7XA3ke-HGctjm_lz5GtgZKFoK_yKbxqBvuxpJTJ2LnLxQDButMwcps15b6DlRBgfedibfuVVYSqnmSZFcgRbauL5hctHi0vTE-9t67SXZbpmUn2zuoO1D-ZKKk&xkcb=SoB767M3-yKrBzyiqx0NbzkdCdPP&fccid=e090e5fccc045dae&cmp=Viewide-Education-Inc.&ti=Developer&vjs=3
